TREE_ID;CIVIC_NUMBER;STD_STREET;GENUS_NAME;SPECIES_NAME;CULTIVAR_NAME;COMMON_NAME;ON_STREET_BLOCK;ON_STREET;NEIGHBOURHOOD_NAME;STREET_SIDE_NAME;HEIGHT_RANGE_ID;HEIGHT_RANGE;DIAMETER;DATE_PLANTED;Geom;geo_point_2d
117156;6382;VIVIAN ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2700;E 48TH AV;KILLARNEY;ODD;2;20-30;19.0;;"{""coordinates"": [-123.05001800001514, 49.225955999297476], ""type"": ""Point""}";49.225955999297476, -123.05001800001514
117219;2771;E 52ND AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2700;E 52ND AV;VICTORIA-FRASERVIEW;ODD;3;30-40;16.0;;"{""coordinates"": [-123.05104999938524, 49.22194699901565], ""type"": ""Point""}";49.22194699901565, -123.05104999938524
117238;7012;VIVIAN DRIVE;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2700;E 54TH AV;KILLARNEY;EVEN;2;20-30;5.5;;"{""coordinates"": [-123.05029399993896, 49.2201309992581], ""type"": ""Point""}";49.2201309992581, -123.05029399993896
243425;3907;LILLOOET ST;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;3000;E 23RD AV;RENFREW-COLLINGWOOD;EVEN;1;10-20;3.0;2020-02-28;"{""coordinates"": [-123.03945100043954, 49.24962199909979], ""type"": ""Point""}";49.24962199909979, -123.03945100043954
243439;2915;LILLOOET ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2900;LILLOOET ST;RENFREW-COLLINGWOOD;ODD;1;10-20;4.0;2013-03-07;"{""coordinates"": [-123.03910300041294, 49.25754199907548], ""type"": ""Point""}";49.25754199907548, -123.03910300041294
243441;2915;LILLOOET ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2900;LILLOOET ST;RENFREW-COLLINGWOOD;ODD;1;10-20;3.0;2021-10-27;"{""coordinates"": [-123.03911099973926, 49.25737099915558], ""type"": ""Point""}";49.25737099915558, -123.03911099973926
243443;3013;LILLOOET ST;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;3000;LILLOOET ST;RENFREW-COLLINGWOOD;ODD;1;10-20;3.0;2013-02-27;"{""coordinates"": [-123.03911300006163, 49.25695799941448], ""type"": ""Point""}";49.25695799941448, -123.03911300006163
243444;3025;LILLOOET ST;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;3000;LILLOOET ST;RENFREW-COLLINGWOOD;ODD;1;10-20;5.0;2013-02-27;"{""coordinates"": [-123.03911399971454, 49.25654999862347], ""type"": ""Point""}";49.25654999862347, -123.03911399971454
117424;4645;WALDEN ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;4600;WALDEN ST;RILEY PARK;ODD;2;20-30;16.5;;"{""coordinates"": [-123.10008600011463, 49.24291099869456], ""type"": ""Point""}";49.24291099869456, -123.10008600011463
243519;4576;MANOR ST;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;4500;MANOR ST;RENFREW-COLLINGWOOD;EVEN;1;10-20;3.0;2013-03-07;"{""coordinates"": [-123.03753499981156, 49.243838999366574], ""type"": ""Point""}";49.243838999366574, -123.03753499981156
243559;2953;E 15TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3000;NOOTKA ST;RENFREW-COLLINGWOOD;ODD;1;10-20;3.0;2013-03-07;"{""coordinates"": [-123.04166299992798, 49.25656399913892], ""type"": ""Point""}";49.25656399913892, -123.04166299992798
243560;2953;E 15TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3000;NOOTKA ST;RENFREW-COLLINGWOOD;ODD;1;10-20;3.0;2013-03-07;"{""coordinates"": [-123.04166199937065, 49.256638998904], ""type"": ""Point""}";49.256638998904, -123.04166199937065
243561;2953;E 15TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3000;NOOTKA ST;RENFREW-COLLINGWOOD;ODD;1;10-20;3.0;2013-03-07;"{""coordinates"": [-123.04166399963252, 49.2567279986379], ""type"": ""Point""}";49.2567279986379, -123.04166399963252
